topic_id,top_words,n_docs,topic_label,topic_label_long,topic_label_confidence
0,"ascp, certified, hire, technologist, medical, specimen, reps, accredited, certification, laboratory",82,Medical laboratory technologist roles,"Positions focused on certified medical laboratory technologists performing specimen handling, testing, and quality control in clinical laboratory settings.",0.95
1,"eurofins, agroscience, food, companies, forensics, eat, rely, drink, labelling, biggest",71,Analytical testing in food & environment,"This topic focuses on analytical testing services related to food safety, environmental monitoring, and agroscience provided by Eurofins laboratories.",0.9
2,"jhu, equivalency, permitted, substitute, johns, hopkins, covid, conviction, vaccination, vaccine",61,Johns Hopkins COVID Research Compliance,"Research roles focused on laboratory and clinical studies at Johns Hopkins University, emphasizing COVID-19 vaccination and related compliance protocols.",0.85
3,"qc, quality, charles, river, gmp, cgmp, investigations, control, audits, release",59,Quality Control & GMP Compliance,"This topic focuses on quality control processes, GMP/cGMP compliance, audits, investigations, and regulatory quality assurance in pharmaceutical and biotech manufacturing.",0.95
4,"nist, prep, johns, jhu, hopkins, covid, vaccination, vaccine, holders, institutions",52,NIST PREP Research Collaboration,Research positions focused on the NIST Professional Research Experience Program (PREP) facilitating collaboration between NIST and academic institutions like Johns Hopkins University.,0.85
5,"gsk, ahead, oncology, biomarker, businesses, disease, translational, authorization, agencies, cms",48,Oncology Translational Medicine & Biomarkers,"Focuses on oncology research involving translational medicine, biomarker discovery, and diagnostic technology development within pharmaceutical and clinical settings.",0.9
6,"johnson, jnj, calendar, treatments, tomorrow, medtech, innovative, smarter, spring, profoundly",45,Innovative Medicine & MedTech,Jobs focused on innovative medical treatments and medical technology development primarily at Johnson & Johnson.,0.9
7,"genscript, probio, usa, gene, 2002, therapy, proactive, 1548, hk, covers",44,Gene synthesis & biotech services,Jobs related to gene synthesis technology and biotechnology services provided by GenScript and its subsidiaries.,0.9
8,"rutgers, rbhs, newark, brunswick, posting, details, season, screenings, exemption, biomedical",42,Rutgers Biomedical Health Sciences Jobs,Job postings related to research and healthcare positions within Rutgers University's Biomedical and Health Sciences departments.,0.85
9,"army, kic, threats, arl, bsl, interagency, dod, defense, countermeasures, approximately",37,Defense-related biomedical research,Research and development roles focused on biomedical and chemical defense within U.S. Army and Department of Defense agencies.,0.9
10,"bms, careers, roles, myers, squibb, bristol, occupancy, interesting, onsite, site",35,Pharma Industry & Bristol Myers Squibb,"Job postings related to pharmaceutical industry roles, particularly at Bristol Myers Squibb, focusing on career opportunities and company-specific positions.",0.85
11,"penn, cultural, philadelphia, family, home, specialist, tuition, underwriting, admission, recreational",34,University of Pennsylvania Affiliations,Job postings related to positions and opportunities affiliated with the University of Pennsylvania and its Philadelphia campus.,0.85
12,"quest, lifted, test, carried, objects, unsolicited, agency, honors, paying, diagnostics",32,Clinical laboratory diagnostics,"Focus on performing diagnostic test procedures in clinical laboratory settings, including serology, microbiology, blood bank, and toxicology.",0.9
13,"rutgers, posting, details, brunswick, season, njit, sas, screenings, exemption, prospective",31,University Job Postings & Administration,Job postings and administrative details related to academic positions at universities such as Rutgers and NJIT.,0.85
